postcode;plaats;provincie;gemeente;nummer;latitude;longitude;nummer2
8644;Deersum;Friesland;Boarnsterhim;0055;53.087;5.7153;4
8647;Sijbrandaburen;Friesland;Boarnsterhim;0055;53.0667;5.7167;4
9000;Grouw (Grou);Friesland;Boarnsterhim;0055;53.1;5.8333;4
9001;Grouw (Grou);Friesland;Boarnsterhim;0055;53.1;5.8333;4
9003;Wartena (Warten);Friesland;Boarnsterhim;0055;53.15;5.9;4
9004;Warstiens;Friesland;Boarnsterhim;0055;53.1607;5.8622;4
9005;Warga (Wergea);Friesland;Boarnsterhim;0055;53.1515;5.844;4
9006;Aegum (Eagum);Friesland;Boarnsterhim;0055;53.1298;5.8282;4
9007;Idaard (Idaerd);Friesland;Boarnsterhim;0055;53.118;5.8149;4
9008;Roordahuizum (Reduzum);Friesland;Boarnsterhim;0055;53.1178;5.7876;4
9009;Friens;Friesland;Boarnsterhim;0055;53.0992;5.7991;4
9010;Irnsum (Jirnsum);Friesland;Boarnsterhim;0055;53.0775;5.7925;4
9011;Irnsum (Jirnsum);Friesland;Boarnsterhim;0055;53.0775;5.7925;4
9012;Rauwerd (Raerd);Friesland;Boarnsterhim;0055;53.0976;5.7599;4
9013;Poppingawier (Poppenwier);Friesland;Boarnsterhim;0055;53.0833;5.75;4
9014;Terzool (Tersoal);Friesland;Boarnsterhim;0055;53.0745;5.7368;4
8845;Waaksens;Friesland;Dongeradeel;0058;53.355;5.9213;4
9100;Dokkum;Friesland;Dongeradeel;0058;53.3333;6;4
9101;Dokkum;Friesland;Dongeradeel;0058;53.3333;6;4
9102;Dokkum;Friesland;Dongeradeel;0058;53.3333;6;4
9103;Dokkum;Friesland;Dongeradeel;0058;53.3333;6;4
9121;Aalsum (Aalzum);Friesland;Dongeradeel;0058;53.3392;6.0033;4
9122;Wetsens;Friesland;Dongeradeel;0058;53.3469;6.0336;4
9123;Metslawier;Friesland;Dongeradeel;0058;53.3599;6.067;4
9124;Jouswier;Friesland;Dongeradeel;0058;53.3502;6.0741;4
