postcode;provincie;gemeente;lat;long
9288;Kootstertille (Koatstertille);Friesland;Achtkarspelen;532.126;60.921
9289;Drogeham (Droegeham);Friesland;Achtkarspelen;532.021;61.118
9870;Stroobos;Friesland;Achtkarspelen;532.378;62.136
9871;Stroobos;Friesland;Achtkarspelen;532.378;62.136
9872;Stroobos;Friesland;Achtkarspelen;532.378;62.136
9873;Gerkesklooster;Friesland;Achtkarspelen;532.379;62.037
9143;Nes;Friesland;Ameland;53.445;5.774
9160;Hollum;Friesland;Ameland;534.394;5.638
9161;Hollum;Friesland;Ameland;534.394;5.638
9162;Ballum;Friesland;Ameland;534.434;56.871
9163;Nes;Friesland;Ameland;53.445;5.774
9164;Buren (Bueren);Friesland;Ameland;534.472;57.991
9047;Minnertsga (Minnertsgea);Friesland;het Bildt;53.251;55.951
9076;Sint-Annaparochie (Sint-Anne);Friesland;het Bildt;532.762;56.573
9077;Vrouwenparochie (Froubuorren);Friesland;het Bildt;532.793;57.004
8700;Bolsward;Friesland;Bolsward;530.667;55.333
8701;Bolsward;Friesland;Bolsward;530.667;55.333
8702;Bolsward;Friesland;Bolsward;530.667;55.333
9067;Roodkerk (Readtsjerk);Friesland;Dantumadeel;532.557;59.324
9104;Damwoude;Friesland;Dantumadeel;532.905;59.978
9105;Rinsumageest;Friesland;Dantumadeel;53.297;59.493
9106;Sijbrandahuis;Friesland;Dantumadeel;533.115;59.386
9108;Broeksterwoude;Friesland;Dantumadeel;532.747;59.965
9109;De Valom;Friesland;Dantumadeel;532.673;60.064
9113;Wouterswoude;Friesland;Dantumadeel;53.3;60.333
9114;Driesum;Friesland;Dantumadeel;532.959;60.461
9269;Veenwouden (Feanwâlden);Friesland;Dantumadeel;532.356;59.883
9270;Zwaagwesteinde (De Westerein);Friesland;Dantumadeel;532.573;60.363
9271;Zwaagwesteinde (De Westerein);Friesland;Dantumadeel;532.573;60.363
8800;Franeker;Friesland;Franekeradeel;531.855;55.412
8801;Franeker;Friesland;Franekeradeel;531.855;55.412
8802;Franeker;Friesland;Franekeradeel;531.855;55.412
8804;Tzum;Friesland;Franekeradeel;53.159;55.628
8805;Hitzum;Friesland;Franekeradeel;531.658;55.175
8806;Achlum;Friesland;Franekeradeel;53.15;54.833
8807;Herbaijum;Friesland;Franekeradeel;531.849;54.949
8808;Dongjum;Friesland;Franekeradeel;532.082;55.438
8809;Boer;Friesland;Franekeradeel;532.167;55.667
8811;Ried;Friesland;Franekeradeel;532.226;55.893
8812;Peins;Friesland;Franekeradeel;532.051;55.947
8813;Schalsum;Friesland;Franekeradeel;531.972;55.715
8814;Zweins;Friesland;Franekeradeel;531.895;56.069
8850;Tzummarum;Friesland;Franekeradeel;532.373;55.461
8851;Tzummarum;Friesland;Franekeradeel;532.373;55.461
8852;Firdgum;Friesland;Franekeradeel;532.488;55.601
8853;Klooster-Lidlum;Friesland;Franekeradeel;532.296;55.241
8854;Oosterbierum;Friesland;Franekeradeel;532.342;55.114
